date,provider,account_id,service,resource_id,resource_name,resource_type,region,availability_zone,environment,team,project,instance_type,usage_hours,avg_cpu_utilization,storage_gb,usage_quantity,usage_unit,currency,list_cost,discount,cost,billing_period_start,billing_period_end,tags
2026-04-22,AWS,aws-dev-003,EC2,i-dev-ml-test,ML Dev Testing Node,compute,us-west-2,us-west-2a,development,ML,AI Platform,m5.xlarge,24.0,10.0,,24.0,hours,USD,4.4,0.47,3.93,2026-04-01,2026-04-30,team=ML;project=AI Platform;environment=development
2026-04-22,AWS,aws-prod-001,S3,s3-backups,Backup Storage Bucket,storage,us-east-1,,production,Platform,Customer Portal,,0.0,,1800,3.27,GB-month,USD,3.66,0.39,3.27,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-22,AWS,aws-prod-001,S3,s3-logs-archive,Log Archive Bucket,storage,us-east-1,,production,Platform,Customer Portal,,0.0,,900,0.42,GB-month,USD,0.47,0.05,0.42,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-22,AWS,aws-prod-001,Lambda,lambda-image-proc,Image Processing Lambda,serverless,us-east-1,,production,Platform,Customer Portal,,0.0,,,0.3,requests,USD,0.34,0.04,0.3,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-22,AWS,aws-prod-001,Lambda,lambda-nightly-etl,Nightly ETL Lambda,serverless,us-east-1,,production,Analytics,Data Pipeline,,0.0,,,0.52,requests,USD,0.58,0.06,0.52,2026-04-01,2026-04-30,team=Analytics;project=Data Pipeline;environment=production
2026-04-22,AWS,aws-prod-001,EC2,i-untagged-01,Untagged Server A,compute,us-east-1,us-east-1a,,,,m5.large,17.5,46.9,,17.5,hours,USD,3.85,0.41,3.44,2026-04-01,2026-04-30,
2026-04-22,AWS,aws-dev-003,EC2,i-untagged-02,Untagged Server B,compute,us-west-2,us-west-2a,,,,t3.medium,17.7,36.4,,17.7,hours,USD,1.06,0.11,0.95,2026-04-01,2026-04-30,
2026-04-22,Azure,azure-prod-sub,VirtualMachines,vm-prod-api,Azure API VM,compute,eastus,,production,Platform,Customer Portal,Standard_D4s_v3,23.4,59.0,,23.4,hours,USD,5.44,0.58,4.86,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-22,Azure,azure-prod-sub,SQLDatabase,sql-prod-main,Azure SQL Production,database,eastus,,production,Platform,Customer Portal,,0.0,62.0,,5.1,requests,USD,5.71,0.61,5.1,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-22,Azure,azure-prod-sub,BlobStorage,blob-prod-data,Production Blob Storage,storage,westeurope,,production,Analytics,Customer Analytics,,0.0,,3000,1.15,GB-month,USD,1.29,0.14,1.15,2026-04-01,2026-04-30,team=Analytics;project=Customer Analytics;environment=production
2026-04-22,Azure,azure-dev-sub,VirtualMachines,vm-staging-old,Old Staging VM,compute,eastus,,staging,DevOps,Infrastructure,Standard_D8s_v3,24.0,1.7,,24.0,hours,USD,10.02,1.07,8.95,2026-04-01,2026-04-30,team=DevOps;project=Infrastructure;environment=staging
2026-04-22,Azure,azure-dev-sub,VirtualMachines,vm-dev-build,Build Server,compute,westeurope,,development,DevOps,Infrastructure,Standard_D2s_v3,24.0,8.5,,24.0,hours,USD,2.52,0.27,2.25,2026-04-01,2026-04-30,team=DevOps;project=Infrastructure;environment=development
2026-04-22,Azure,azure-prod-sub,VirtualMachines,vm-sec-scan,Security Scanner,compute,eastus,,production,Security,Compliance,Standard_D4s_v3,23.3,18.6,,23.3,hours,USD,5.26,0.56,4.7,2026-04-01,2026-04-30,team=Security;project=Compliance;environment=production
2026-04-22,GCP,gcp-ml-project,Compute Engine,gce-ml-train-01,ML Training Node,compute,us-central1,,production,ML,AI Platform,n2-standard-8,20.8,50.6,,20.8,hours,USD,10.35,1.11,9.24,2026-04-01,2026-04-30,team=ML;project=AI Platform;environment=production
2026-04-22,GCP,gcp-ml-project,Compute Engine,gce-ml-train-02,ML Training Node 2,compute,europe-west1,,production,ML,AI Platform,n2-standard-8,23.3,27.2,,23.3,hours,USD,10.94,1.17,9.77,2026-04-01,2026-04-30,team=ML;project=AI Platform;environment=production
2026-04-22,GCP,gcp-ml-project,Cloud Storage,gcs-ml-datasets,ML Dataset Bucket,storage,us-central1,,production,ML,AI Platform,,0.0,,5000,1.71,GB-month,USD,1.92,0.21,1.71,2026-04-01,2026-04-30,team=ML;project=AI Platform;environment=production
2026-04-22,GCP,gcp-prod-project,BigQuery,bq-analytics,BigQuery Analytics,database,us-central1,,production,Analytics,Customer Analytics,,0.0,62.8,,2.37,requests,USD,2.65,0.28,2.37,2026-04-01,2026-04-30,team=Analytics;project=Customer Analytics;environment=production
2026-04-22,GCP,gcp-prod-project,Compute Engine,gce-dev-old-01,Old Dev Instance,compute,asia-east1,,development,ML,AI Platform,n2-standard-4,24.0,2.0,,24.0,hours,USD,5.8,0.62,5.18,2026-04-01,2026-04-30,team=ML;project=AI Platform;environment=development
2026-04-22,GCP,gcp-prod-project,Compute Engine,gce-low-util-api,Low Util API Server,compute,europe-west1,,staging,Platform,Customer Portal,n2-standard-4,24.0,11.8,,24.0,hours,USD,5.42,0.58,4.84,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=staging
2026-04-22,AWS,aws-prod-001,EC2,i-apac-prod-01,APAC Production Server,compute,ap-southeast-1,ap-southeast-1a,production,Platform,Customer Portal,m5.xlarge,23.4,61.3,,23.4,hours,USD,6.79,0.73,6.06,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-23,AWS,aws-prod-001,EC2,i-prod-web-01,Production Web Server 1,compute,us-east-1,us-east-1a,production,Platform,Customer Portal,m5.large,20.1,45.8,,20.1,hours,USD,2.28,0.24,2.04,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-23,AWS,aws-prod-001,EC2,i-prod-web-02,Production Web Server 2,compute,us-east-1,us-east-1a,production,Platform,Customer Portal,m5.large,20.8,47.1,,20.8,hours,USD,2.52,0.27,2.25,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-23,AWS,aws-prod-001,EC2,i-prod-api-01,API Gateway Server,compute,us-east-1,us-east-1a,production,Platform,Customer Portal,m5.xlarge,21.3,67.8,,21.3,hours,USD,4.83,0.52,4.31,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-23,AWS,aws-prod-001,RDS,db-prod-main,Primary Production DB,database,us-east-1,,production,Platform,Customer Portal,db.r5.xlarge,0.0,51.5,,6.4,requests,USD,7.17,0.77,6.4,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-23,AWS,aws-prod-001,S3,s3-prod-assets,Production Assets Bucket,storage,us-east-1,,production,Platform,Customer Portal,,0.0,,2500,0.8,GB-month,USD,0.9,0.1,0.8,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-23,AWS,aws-staging-002,EC2,i-staging-test,Staging Test Instance,compute,us-east-1,us-east-1a,staging,Platform,Customer Portal,m5.large,24.0,1.6,,24.0,hours,USD,2.26,0.24,2.02,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=staging
2026-04-23,AWS,aws-prod-001,EC2,i-old-batch-job,Legacy Batch Processor,compute,us-west-2,us-west-2a,production,Analytics,Data Pipeline,c5.4xlarge,24.0,2.7,,24.0,hours,USD,17.25,1.85,15.4,2026-04-01,2026-04-30,team=Analytics;project=Data Pipeline;environment=production
2026-04-23,AWS,aws-prod-001,RDS,db-legacy-archive,Legacy Archive DB,database,us-east-1,,production,Analytics,Data Pipeline,db.t3.medium,0.0,2.8,,1.92,requests,USD,2.15,0.23,1.92,2026-04-01,2026-04-30,team=Analytics;project=Data Pipeline;environment=production
2026-04-23,AWS,aws-prod-001,EC2,i-analytics-01,Analytics Server,compute,us-west-2,us-west-2a,production,Analytics,Customer Analytics,m5.2xlarge,22.4,20.2,,22.4,hours,USD,10.16,1.09,9.07,2026-04-01,2026-04-30,team=Analytics;project=Customer Analytics;environment=production
2026-04-23,AWS,aws-prod-001,RDS,db-reporting,Reporting Database,database,us-east-1,,production,Analytics,Customer Analytics,db.m5.large,0.0,21.6,,3.37,requests,USD,3.77,0.4,3.37,2026-04-01,2026-04-30,team=Analytics;project=Customer Analytics;environment=production
2026-04-23,AWS,aws-dev-003,EC2,i-dev-sandbox,Developer Sandbox,compute,us-east-1,us-east-1a,development,Platform,Customer Portal,t3.medium,24.0,5.7,,24.0,hours,USD,0.94,0.1,0.84,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=development
2026-04-23,AWS,aws-dev-003,EC2,i-dev-ml-test,ML Dev Testing Node,compute,us-west-2,us-west-2a,development,ML,AI Platform,m5.xlarge,24.0,14.4,,24.0,hours,USD,4.93,0.53,4.4,2026-04-01,2026-04-30,team=ML;project=AI Platform;environment=development
2026-04-23,AWS,aws-prod-001,S3,s3-backups,Backup Storage Bucket,storage,us-east-1,,production,Platform,Customer Portal,,0.0,,1800,3.46,GB-month,USD,3.88,0.42,3.46,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-23,AWS,aws-prod-001,S3,s3-logs-archive,Log Archive Bucket,storage,us-east-1,,production,Platform,Customer Portal,,0.0,,900,0.37,GB-month,USD,0.41,0.04,0.37,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-23,AWS,aws-prod-001,Lambda,lambda-image-proc,Image Processing Lambda,serverless,us-east-1,,production,Platform,Customer Portal,,0.0,,,0.29,requests,USD,0.32,0.03,0.29,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-23,AWS,aws-prod-001,Lambda,lambda-nightly-etl,Nightly ETL Lambda,serverless,us-east-1,,production,Analytics,Data Pipeline,,0.0,,,0.54,requests,USD,0.6,0.06,0.54,2026-04-01,2026-04-30,team=Analytics;project=Data Pipeline;environment=production
2026-04-23,AWS,aws-prod-001,EC2,i-untagged-01,Untagged Server A,compute,us-east-1,us-east-1a,,,,m5.large,23.6,40.9,,23.6,hours,USD,3.8,0.41,3.39,2026-04-01,2026-04-30,
2026-04-23,AWS,aws-dev-003,EC2,i-untagged-02,Untagged Server B,compute,us-west-2,us-west-2a,,,,t3.medium,20.1,25.3,,20.1,hours,USD,1.04,0.11,0.93,2026-04-01,2026-04-30,
2026-04-23,Azure,azure-prod-sub,VirtualMachines,vm-prod-api,Azure API VM,compute,eastus,,production,Platform,Customer Portal,Standard_D4s_v3,21.1,56.3,,21.1,hours,USD,5.5,0.59,4.91,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-23,Azure,azure-prod-sub,SQLDatabase,sql-prod-main,Azure SQL Production,database,eastus,,production,Platform,Customer Portal,,0.0,41.8,,5.45,requests,USD,6.1,0.65,5.45,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-23,Azure,azure-prod-sub,BlobStorage,blob-prod-data,Production Blob Storage,storage,westeurope,,production,Analytics,Customer Analytics,,0.0,,3000,1.19,GB-month,USD,1.33,0.14,1.19,2026-04-01,2026-04-30,team=Analytics;project=Customer Analytics;environment=production
2026-04-23,Azure,azure-dev-sub,VirtualMachines,vm-staging-old,Old Staging VM,compute,eastus,,staging,DevOps,Infrastructure,Standard_D8s_v3,24.0,4.3,,24.0,hours,USD,11.4,1.22,10.18,2026-04-01,2026-04-30,team=DevOps;project=Infrastructure;environment=staging
2026-04-23,Azure,azure-dev-sub,VirtualMachines,vm-dev-build,Build Server,compute,westeurope,,development,DevOps,Infrastructure,Standard_D2s_v3,24.0,9.0,,24.0,hours,USD,2.69,0.29,2.4,2026-04-01,2026-04-30,team=DevOps;project=Infrastructure;environment=development
2026-04-23,Azure,azure-prod-sub,VirtualMachines,vm-sec-scan,Security Scanner,compute,eastus,,production,Security,Compliance,Standard_D4s_v3,23.8,17.3,,23.8,hours,USD,5.7,0.61,5.09,2026-04-01,2026-04-30,team=Security;project=Compliance;environment=production
2026-04-23,GCP,gcp-ml-project,Compute Engine,gce-ml-train-01,ML Training Node,compute,us-central1,,production,ML,AI Platform,n2-standard-8,22.6,48.1,,22.6,hours,USD,10.94,1.17,9.77,2026-04-01,2026-04-30,team=ML;project=AI Platform;environment=production
2026-04-23,GCP,gcp-ml-project,Compute Engine,gce-ml-train-02,ML Training Node 2,compute,europe-west1,,production,ML,AI Platform,n2-standard-8,23.5,17.0,,23.5,hours,USD,10.83,1.16,9.67,2026-04-01,2026-04-30,team=ML;project=AI Platform;environment=production
2026-04-23,GCP,gcp-ml-project,Cloud Storage,gcs-ml-datasets,ML Dataset Bucket,storage,us-central1,,production,ML,AI Platform,,0.0,,5000,1.88,GB-month,USD,2.11,0.23,1.88,2026-04-01,2026-04-30,team=ML;project=AI Platform;environment=production
2026-04-23,GCP,gcp-prod-project,BigQuery,bq-analytics,BigQuery Analytics,database,us-central1,,production,Analytics,Customer Analytics,,0.0,56.0,,2.3,requests,USD,2.58,0.28,2.3,2026-04-01,2026-04-30,team=Analytics;project=Customer Analytics;environment=production
2026-04-23,GCP,gcp-prod-project,Compute Engine,gce-dev-old-01,Old Dev Instance,compute,asia-east1,,development,ML,AI Platform,n2-standard-4,24.0,1.8,,24.0,hours,USD,4.96,0.53,4.43,2026-04-01,2026-04-30,team=ML;project=AI Platform;environment=development
2026-04-23,GCP,gcp-prod-project,Compute Engine,gce-low-util-api,Low Util API Server,compute,europe-west1,,staging,Platform,Customer Portal,n2-standard-4,24.0,13.6,,24.0,hours,USD,5.7,0.61,5.09,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=staging
2026-04-23,AWS,aws-prod-001,EC2,i-apac-prod-01,APAC Production Server,compute,ap-southeast-1,ap-southeast-1a,production,Platform,Customer Portal,m5.xlarge,21.2,66.3,,21.2,hours,USD,6.04,0.65,5.39,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-24,AWS,aws-prod-001,EC2,i-prod-web-01,Production Web Server 1,compute,us-east-1,us-east-1a,production,Platform,Customer Portal,m5.large,23.8,67.9,,23.8,hours,USD,2.2,0.24,1.96,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-24,AWS,aws-prod-001,EC2,i-prod-web-02,Production Web Server 2,compute,us-east-1,us-east-1a,production,Platform,Customer Portal,m5.large,20.3,54.5,,20.3,hours,USD,2.45,0.26,2.19,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-24,AWS,aws-prod-001,EC2,i-prod-api-01,API Gateway Server,compute,us-east-1,us-east-1a,production,Platform,Customer Portal,m5.xlarge,20.5,64.0,,20.5,hours,USD,4.69,0.5,4.19,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-24,AWS,aws-prod-001,RDS,db-prod-main,Primary Production DB,database,us-east-1,,production,Platform,Customer Portal,db.r5.xlarge,0.0,56.7,,5.78,requests,USD,6.47,0.69,5.78,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-24,AWS,aws-prod-001,S3,s3-prod-assets,Production Assets Bucket,storage,us-east-1,,production,Platform,Customer Portal,,0.0,,2500,0.85,GB-month,USD,0.95,0.1,0.85,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-24,AWS,aws-staging-002,EC2,i-staging-test,Staging Test Instance,compute,us-east-1,us-east-1a,staging,Platform,Customer Portal,m5.large,24.0,2.2,,24.0,hours,USD,2.25,0.24,2.01,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=staging
2026-04-24,AWS,aws-prod-001,EC2,i-old-batch-job,Legacy Batch Processor,compute,us-west-2,us-west-2a,production,Analytics,Data Pipeline,c5.4xlarge,24.0,2.7,,24.0,hours,USD,18.6,1.99,16.61,2026-04-01,2026-04-30,team=Analytics;project=Data Pipeline;environment=production
2026-04-24,AWS,aws-prod-001,RDS,db-legacy-archive,Legacy Archive DB,database,us-east-1,,production,Analytics,Data Pipeline,db.t3.medium,0.0,1.3,,1.75,requests,USD,1.96,0.21,1.75,2026-04-01,2026-04-30,team=Analytics;project=Data Pipeline;environment=production
2026-04-24,AWS,aws-prod-001,EC2,i-analytics-01,Analytics Server,compute,us-west-2,us-west-2a,production,Analytics,Customer Analytics,m5.2xlarge,23.3,27.9,,23.3,hours,USD,9.33,1.0,8.33,2026-04-01,2026-04-30,team=Analytics;project=Customer Analytics;environment=production
2026-04-24,AWS,aws-prod-001,RDS,db-reporting,Reporting Database,database,us-east-1,,production,Analytics,Customer Analytics,db.m5.large,0.0,21.7,,3.39,requests,USD,3.8,0.41,3.39,2026-04-01,2026-04-30,team=Analytics;project=Customer Analytics;environment=production
2026-04-24,AWS,aws-dev-003,EC2,i-dev-sandbox,Developer Sandbox,compute,us-east-1,us-east-1a,development,Platform,Customer Portal,t3.medium,24.0,8.4,,24.0,hours,USD,0.99,0.11,0.88,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=development
2026-04-24,AWS,aws-dev-003,EC2,i-dev-ml-test,ML Dev Testing Node,compute,us-west-2,us-west-2a,development,ML,AI Platform,m5.xlarge,24.0,13.8,,24.0,hours,USD,4.5,0.48,4.02,2026-04-01,2026-04-30,team=ML;project=AI Platform;environment=development
2026-04-24,AWS,aws-prod-001,S3,s3-backups,Backup Storage Bucket,storage,us-east-1,,production,Platform,Customer Portal,,0.0,,1800,3.35,GB-month,USD,3.75,0.4,3.35,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-24,AWS,aws-prod-001,S3,s3-logs-archive,Log Archive Bucket,storage,us-east-1,,production,Platform,Customer Portal,,0.0,,900,0.37,GB-month,USD,0.41,0.04,0.37,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-24,AWS,aws-prod-001,Lambda,lambda-image-proc,Image Processing Lambda,serverless,us-east-1,,production,Platform,Customer Portal,,0.0,,,0.31,requests,USD,0.35,0.04,0.31,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-24,AWS,aws-prod-001,Lambda,lambda-nightly-etl,Nightly ETL Lambda,serverless,us-east-1,,production,Analytics,Data Pipeline,,0.0,,,0.48,requests,USD,0.54,0.06,0.48,2026-04-01,2026-04-30,team=Analytics;project=Data Pipeline;environment=production
2026-04-24,AWS,aws-prod-001,EC2,i-untagged-01,Untagged Server A,compute,us-east-1,us-east-1a,,,,m5.large,22.0,52.2,,22.0,hours,USD,3.34,0.36,2.98,2026-04-01,2026-04-30,
2026-04-24,AWS,aws-dev-003,EC2,i-untagged-02,Untagged Server B,compute,us-west-2,us-west-2a,,,,t3.medium,19.4,32.1,,19.4,hours,USD,0.96,0.1,0.86,2026-04-01,2026-04-30,
2026-04-24,Azure,azure-prod-sub,VirtualMachines,vm-prod-api,Azure API VM,compute,eastus,,production,Platform,Customer Portal,Standard_D4s_v3,23.7,42.5,,23.7,hours,USD,5.44,0.58,4.86,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-24,Azure,azure-prod-sub,SQLDatabase,sql-prod-main,Azure SQL Production,database,eastus,,production,Platform,Customer Portal,,0.0,54.1,,5.76,requests,USD,6.45,0.69,5.76,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-24,Azure,azure-prod-sub,BlobStorage,blob-prod-data,Production Blob Storage,storage,westeurope,,production,Analytics,Customer Analytics,,0.0,,3000,1.26,GB-month,USD,1.41,0.15,1.26,2026-04-01,2026-04-30,team=Analytics;project=Customer Analytics;environment=production
2026-04-24,Azure,azure-dev-sub,VirtualMachines,vm-staging-old,Old Staging VM,compute,eastus,,staging,DevOps,Infrastructure,Standard_D8s_v3,24.0,1.3,,24.0,hours,USD,10.07,1.08,8.99,2026-04-01,2026-04-30,team=DevOps;project=Infrastructure;environment=staging
2026-04-24,Azure,azure-dev-sub,VirtualMachines,vm-dev-build,Build Server,compute,westeurope,,development,DevOps,Infrastructure,Standard_D2s_v3,24.0,11.5,,24.0,hours,USD,2.65,0.28,2.37,2026-04-01,2026-04-30,team=DevOps;project=Infrastructure;environment=development
2026-04-24,Azure,azure-prod-sub,VirtualMachines,vm-sec-scan,Security Scanner,compute,eastus,,production,Security,Compliance,Standard_D4s_v3,23.5,21.1,,23.5,hours,USD,5.53,0.59,4.94,2026-04-01,2026-04-30,team=Security;project=Compliance;environment=production
2026-04-24,GCP,gcp-ml-project,Compute Engine,gce-ml-train-01,ML Training Node,compute,us-central1,,production,ML,AI Platform,n2-standard-8,20.4,71.5,,20.4,hours,USD,10.6,1.14,9.46,2026-04-01,2026-04-30,team=ML;project=AI Platform;environment=production
2026-04-24,GCP,gcp-ml-project,Compute Engine,gce-ml-train-02,ML Training Node 2,compute,europe-west1,,production,ML,AI Platform,n2-standard-8,23.7,19.4,,23.7,hours,USD,10.34,1.11,9.23,2026-04-01,2026-04-30,team=ML;project=AI Platform;environment=production
2026-04-24,GCP,gcp-ml-project,Cloud Storage,gcs-ml-datasets,ML Dataset Bucket,storage,us-central1,,production,ML,AI Platform,,0.0,,5000,1.71,GB-month,USD,1.92,0.21,1.71,2026-04-01,2026-04-30,team=ML;project=AI Platform;environment=production
2026-04-24,GCP,gcp-prod-project,BigQuery,bq-analytics,BigQuery Analytics,database,us-central1,,production,Analytics,Customer Analytics,,0.0,53.3,,2.47,requests,USD,2.77,0.3,2.47,2026-04-01,2026-04-30,team=Analytics;project=Customer Analytics;environment=production
2026-04-24,GCP,gcp-prod-project,Compute Engine,gce-dev-old-01,Old Dev Instance,compute,asia-east1,,development,ML,AI Platform,n2-standard-4,24.0,1.6,,24.0,hours,USD,5.16,0.55,4.61,2026-04-01,2026-04-30,team=ML;project=AI Platform;environment=development
2026-04-24,GCP,gcp-prod-project,Compute Engine,gce-low-util-api,Low Util API Server,compute,europe-west1,,staging,Platform,Customer Portal,n2-standard-4,24.0,13.5,,24.0,hours,USD,5.33,0.57,4.76,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=staging
2026-04-24,AWS,aws-prod-001,EC2,i-apac-prod-01,APAC Production Server,compute,ap-southeast-1,ap-southeast-1a,production,Platform,Customer Portal,m5.xlarge,22.2,67.3,,22.2,hours,USD,6.04,0.65,5.39,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-25,AWS,aws-prod-001,EC2,i-prod-web-01,Production Web Server 1,compute,us-east-1,us-east-1a,production,Platform,Customer Portal,m5.large,23.3,72.0,,23.3,hours,USD,2.53,0.27,2.26,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-25,AWS,aws-prod-001,EC2,i-prod-web-02,Production Web Server 2,compute,us-east-1,us-east-1a,production,Platform,Customer Portal,m5.large,23.4,69.5,,23.4,hours,USD,2.23,0.24,1.99,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-25,AWS,aws-prod-001,EC2,i-prod-api-01,API Gateway Server,compute,us-east-1,us-east-1a,production,Platform,Customer Portal,m5.xlarge,20.9,54.5,,20.9,hours,USD,4.64,0.5,4.14,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-25,AWS,aws-prod-001,RDS,db-prod-main,Primary Production DB,database,us-east-1,,production,Platform,Customer Portal,db.r5.xlarge,0.0,40.0,,5.9,requests,USD,6.61,0.71,5.9,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-25,AWS,aws-prod-001,S3,s3-prod-assets,Production Assets Bucket,storage,us-east-1,,production,Platform,Customer Portal,,0.0,,2500,0.86,GB-month,USD,0.96,0.1,0.86,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-25,AWS,aws-staging-002,EC2,i-staging-test,Staging Test Instance,compute,us-east-1,us-east-1a,staging,Platform,Customer Portal,m5.large,24.0,1.6,,24.0,hours,USD,2.46,0.26,2.2,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=staging
2026-04-25,AWS,aws-prod-001,EC2,i-old-batch-job,Legacy Batch Processor,compute,us-west-2,us-west-2a,production,Analytics,Data Pipeline,c5.4xlarge,24.0,2.3,,24.0,hours,USD,17.73,1.9,15.83,2026-04-01,2026-04-30,team=Analytics;project=Data Pipeline;environment=production
