date,provider,account_id,region,availability_zone,environment,team,department,project,tags,service,resource_id,resource_name,resource_type,instance_type,usage_quantity,usage_unit,usage_hours,avg_cpu_utilization,storage_gb,currency,cost,list_cost,discount,billing_period_start,billing_period_end
2026-04-23,GCP,gcp-proj-872343,us-east1,us-east1b,test,Platform,Engineering,Web Portal,team=Platform;project=Web Portal;environment=test;department=Engineering,BigQuery,gcp-648e0fa09f47,test-load-gen-021,Analytics,n2-highcpu-4,17.68,vCPU-hours,17.68,8.12,0.0,USD,2.5653,2.8007,0.2354,2026-04-01,2026-04-30
2026-04-23,AWS,406352552364,us-west-2,us-west-2a,dev,Data,Data & Analytics,Analytics,team=Data;project=Analytics;environment=dev;department=Data & Analytics,Lambda,i-839496a703ee438ab,dev-db-scratch-023,Serverless,serverless,4243748.0,requests,0.0,73.25,0.0,USD,200.4584,252.3232,51.8648,2026-04-01,2026-04-30
2026-04-23,AWS,174866852259,ap-southeast-1,ap-southeast-1c,test,,,,,ECS,i-51723fb05eed41a49,batch-processing-worker-026,Container,c5.2xlarge,11.42,vCPU-hours,11.42,56.41,0.0,USD,3.4428,3.9425,0.4997,2026-04-01,2026-04-30
2026-04-23,GCP,gcp-proj-735656,europe-west4,europe-west4b,test,Security,Security,Backup Platform,team=Security;project=Backup Platform;environment=test;department=Security,Cloud SQL,gcp-f7e5ab63fb0d,analytics-cluster-025,Database,n2-standard-4,19.81,hours,19.81,53.23,0.0,USD,3.8294,3.8358,0.0064,2026-04-01,2026-04-30
2026-04-23,GCP,gcp-proj-556641,europe-west4,europe-west4b,prod,Finance,,Reporting,team=Finance;project=Reporting;environment=prod,Cloud Functions,gcp-7f0da117ae98,log-aggregator-048,Serverless,serverless,1916223.0,requests,0.0,13.26,0.0,USD,65.7257,84.6805,18.9548,2026-04-01,2026-04-30
2026-04-23,Azure,624330a1-33a9-45cd-b2f8-72cfab226d38,centralindia,centralindia-az3,prod,Finance,Finance,Internal Tools,team=Finance;project=Internal Tools;environment=prod;department=Finance,Application Gateway,/subscriptions/cf5303fc/vm-4d54d8a8,analytics-cluster-070,Network,E8s_v5,1271.41,GB,16.32,65.45,0.0,USD,102.1256,126.2141,24.0885,2026-04-01,2026-04-30
2026-04-24,AWS,214547351220,eu-west-1,eu-west-1b,dev,Security,Security,Backup Platform,team=Security;project=Backup Platform;environment=dev;department=Security,ECS,i-69321e40162b4eabb,dev-db-scratch-068,Container,r5.large,13.55,vCPU-hours,13.55,68.44,0.0,USD,0.9409,1.6511,0.7102,2026-04-01,2026-04-30
2026-04-24,AWS,235030135894,ap-southeast-1,ap-southeast-1c,dev,Customer Success,Operations,Internal Tools,team=Customer Success;project=Internal Tools;environment=dev;department=Operations,ElastiCache,i-ffecab260e2b4e87b,log-aggregator-064,Cache,r5.large,23.81,hours,23.81,14.85,0.0,USD,2.1038,2.9633,0.8595,2026-04-01,2026-04-30
2026-04-24,GCP,gcp-proj-399607,europe-west1,europe-west1b,dev,Engineering,Engineering,Customer API,team=Engineering;project=Customer API;environment=dev;department=Engineering,GKE,gcp-eb8b0bb173a5,dev-test-server-036,Container,n2-highcpu-4,22.48,vCPU-hours,22.48,16.65,0.0,USD,2.8857,3.1859,0.3002,2026-04-01,2026-04-30
2026-04-24,AWS,198503450940,eu-central-1,eu-central-1b,prod,Customer Success,Operations,Internal Tools,team=Customer Success;project=Internal Tools;environment=prod;department=Operations,ElastiCache,i-c8a1a5c6de1445bc8,payment-db-primary-049,Cache,t3.medium,15.43,hours,15.43,66.45,0.0,USD,0.6192,0.6591,0.0399,2026-04-01,2026-04-30
2026-04-24,GCP,gcp-proj-735656,europe-west4,europe-west4b,test,,,,,Cloud SQL,gcp-f7e5ab63fb0d,analytics-cluster-025,Database,n2-standard-4,18.58,hours,18.58,49.69,0.0,USD,3.0182,3.4997,0.4815,2026-04-01,2026-04-30
2026-04-24,AWS,265990327202,eu-central-1,eu-central-1a,test,Marketing,Marketing,Marketing Platform,team=Marketing;project=Marketing Platform;environment=test;department=Marketing,S3,i-1a8d35f941504f1f8,test-integration-db-063,Storage,gp3,385.8,GB-month,19.02,10.9,385.8,USD,0.3893,0.5,0.1107,2026-04-01,2026-04-30
2026-04-24,Azure,a444434d-6806-4b63-b62d-c8995db7e781,centralindia,centralindia-az2,prod,Marketing,,Marketing Platform,team=Marketing;project=Marketing Platform;environment=prod,Azure Kubernetes Service,/subscriptions/cbd300ce/vm-7d52b7c3,log-aggregator-051,Container,B2s,12.64,vCPU-hours,12.64,56.95,0.0,USD,0.4698,0.5239,0.0541,2026-04-01,2026-04-30
2026-04-24,Azure,f9b259fd-92c9-4ed4-81ba-a6c7d70a00f7,westus2,westus2-az2,test,Marketing,Marketing,Marketing Platform,team=Marketing;project=Marketing Platform;environment=test;department=Marketing,Blob Storage,/subscriptions/ca15ff9b/vm-8a2b520f,test-runner-01-071,Storage,StandardSSD,11164.69,GB-month,13.89,35.76,11164.69,USD,32.1697,40.3353,8.1656,2026-04-01,2026-04-30
2026-04-24,Azure,c2d3e9dd-a195-4fe1-bd0e-e8346d5e6456,centralindia,centralindia-az1,dev,Security,Security,Backup Platform,team=Security;project=Backup Platform;environment=dev;department=Security,Blob Storage,/subscriptions/43660fce/vm-c9a6ca88,dev-sandbox-01-020,Storage,StandardSSD,3641.79,GB-month,23.02,10.34,3641.79,USD,1.9638,2.201,0.2372,2026-04-01,2026-04-30
2026-04-24,AWS,306823277527,eu-west-1,eu-west-1b,prod,Marketing,Marketing,Marketing Platform,team=Marketing;project=Marketing Platform;environment=prod;department=Marketing,EC2,i-11542ce6b141485e9,analytics-cluster-009,Compute,r5.xlarge,3.5,hours,3.5,53.85,0.0,USD,0.6001,0.8868,0.2867,2026-04-01,2026-04-30
2026-04-24,GCP,gcp-proj-556641,europe-west4,europe-west4b,prod,Finance,Finance,Reporting,team=Finance;project=Reporting;environment=prod;department=Finance,Cloud Functions,gcp-7f0da117ae98,log-aggregator-048,Serverless,serverless,2129344.0,requests,0.0,9.05,0.0,USD,57.4655,59.7165,2.251,2026-04-01,2026-04-30
2026-04-24,AWS,387635680418,ap-south-1,ap-south-1c,prod,Security,Security,Internal Tools,team=Security;project=Internal Tools;environment=prod;department=Security,Lambda,i-1eb872ba13fa4fddb,marketing-cdn-024,Serverless,serverless,4033955.0,requests,2.99,55.33,0.0,USD,1276.9124,1769.9739,493.0615,2026-04-01,2026-04-30
2026-04-24,AWS,283498961791,us-east-1,us-east-1b,dev,Security,Security,Backup Platform,team=Security;project=Backup Platform;environment=dev;department=Security,RDS,i-43f436a5c8534955a,analytics-cluster-040,Database,c5.4xlarge,13.63,hours,13.63,20.66,0.0,USD,7.2513,10.061,2.8097,2026-04-01,2026-04-30
2026-04-24,GCP,gcp-proj-584125,us-central1,us-central1c,prod,QA,Engineering,Testing Platform,team=QA;project=Testing Platform;environment=prod;department=Engineering,Cloud Functions,gcp-0444ee81ca7e,prod-web-gateway-041,Serverless,serverless,1386508.0,requests,0.0,65.58,0.0,USD,66.0531,80.9456,14.8925,2026-04-01,2026-04-30
2026-04-24,GCP,gcp-proj-197793,us-central1,us-central1c,test,,,,,GKE,gcp-64f99da3ba8e,test-runner-01-007,Container,n2-standard-2,16.87,vCPU-hours,16.87,56.73,0.0,USD,1.328,1.5836,0.2556,2026-04-01,2026-04-30
2026-04-24,AWS,546688090938,us-west-2,us-west-2c,prod,Engineering,Engineering,Mobile Backend,team=Engineering;project=Mobile Backend;environment=prod;department=Engineering,Redshift,i-8bd44b7d36154db79,prod-core-db-061,Analytics,c5.2xlarge,10.37,vCPU-hours,10.37,5.0,0.0,USD,3.817,3.8758,0.0588,2026-04-01,2026-04-30
2026-04-24,GCP,gcp-proj-142213,,europe-west1a,dev,,,,,GKE,gcp-8b5116dffeb0,data-lake-ingest-043,Container,e2-small,12.23,vCPU-hours,12.23,57.71,0.0,USD,0.3053,0.5,0.1947,2026-04-01,2026-04-30
2026-04-24,AWS,608002483225,eu-central-1,eu-central-1a,staging,QA,Engineering,Testing Platform,team=QA;project=Testing Platform;environment=staging;department=Engineering,EBS,i-4a797322816946efb,staging-web-01-006,Storage,gp3,3546.49,GB-month,23.08,14.81,3546.49,USD,9.3264,9.885,0.5586,2026-04-01,2026-04-30
2026-04-24,AWS,622524651020,us-east-1,us-east-1c,test,DevOps,Engineering,Internal Tools,team=DevOps;project=Internal Tools;environment=test;department=Engineering,S3,i-a097db097e8a4e459,security-scanner-000,Storage,gp3,1119.65,GB-month,23.62,10.94,1119.65,USD,0.5946,0.8296,0.235,2026-04-01,2026-04-30
2026-04-24,AWS,539425475482,us-west-2,us-west-2c,test,,,,,ECS,i-74ffa881972a47d38,test-runner-01-001,Container,r5.large,13.48,vCPU-hours,13.48,60.9,0.0,USD,1.3247,1.6544,0.3297,2026-04-01,2026-04-30
2026-04-24,Azure,2de9516c-bd72-414c-a6a0-9be9574e87de,centralindia,centralindia-az2,prod,Analytics,,,team=Analytics;environment=prod,Azure SQL Database,/subscriptions/625c7f51/vm-931a75b9,prod-customer-api-054,Database,E4s_v5,21.37,hours,21.37,11.84,0.0,USD,5.2786,5.9776,0.699,2026-04-01,2026-04-30
2026-04-24,GCP,gcp-proj-233636,asia-southeast1,asia-southeast1c,prod,DevOps,Engineering,Backup Platform,team=DevOps;project=Backup Platform;environment=prod;department=Engineering,Cloud Load Balancing,gcp-16ce608e5737,prod-web-gateway-019,Network,n2-standard-2,1268.01,GB,16.16,45.0,0.0,USD,85.6681,121.916,36.2479,2026-04-01,2026-04-30
2026-04-24,GCP,gcp-proj-923927,europe-west1,europe-west1b,staging,Data,Data & Analytics,,team=Data;environment=staging;department=Data & Analytics,Cloud Load Balancing,gcp-ceef2a48d009,staging-api-02-029,Network,n2-highmem-8,2893.74,GB,7.14,6.72,0.0,USD,156.6034,194.3859,37.7825,2026-04-01,2026-04-30
2026-04-24,AWS,110999011248,ap-south-1,ap-south-1b,dev,Marketing,Marketing,Marketing Platform,team=Marketing;project=Marketing Platform;environment=dev;department=Marketing,RDS,i-9cdc7aaef0754500a,dev-build-agent-018,Database,t3.large,23.75,hours,23.75,14.7,0.0,USD,1.8978,2.0378,0.14,2026-04-01,2026-04-30
2026-04-24,GCP,gcp-proj-901909,asia-south1,asia-south1c,staging,Customer Success,Operations,Customer API,team=Customer Success;project=Customer API;environment=staging;department=Operations,Cloud Functions,gcp-80faa750494f,staging-api-02-066,Serverless,serverless,3823920.0,requests,0.0,62.4,0.0,USD,181.5827,233.2965,51.7138,2026-04-01,2026-04-30
2026-04-24,GCP,gcp-proj-945742,us-east1,us-east1c,prod,Analytics,Data & Analytics,Analytics,team=Analytics;project=Analytics;environment=prod;department=Data & Analytics,Compute Engine,gcp-ba75dacf762a,prod-payment-service-031,Compute,n2-standard-16,19.82,hours,19.82,13.39,0.0,USD,11.1852,15.909,4.7238,2026-04-01,2026-04-30
2026-04-24,Azure,ffbe7533-79f3-4a84-aedb-1a117884e4fb,centralindia,centralindia-az3,prod,Analytics,Data & Analytics,Recommendation Engine,team=Analytics;project=Recommendation Engine;environment=prod;department=Data & Analytics,Blob Storage,/subscriptions/76053b55/vm-53323bed,backup-storage-015,Storage,StandardSSD,1153.52,GB-month,22.73,1.52,1153.52,USD,0.6668,0.6941,0.0273,2026-04-01,2026-04-30
2026-04-24,AWS,506568138339,ap-southeast-1,ap-southeast-1a,prod,Security,Security,Backup Platform,team=Security;project=Backup Platform;environment=prod;department=Security,ECS,i-13e1d940e79b4a76a,batch-processing-worker-047,Container,t3.medium,15.53,vCPU-hours,15.53,53.11,0.0,USD,0.545,0.6628,0.1178,2026-04-01,2026-04-30
2026-04-24,Azure,3047d5bb-40d6-43ff-9983-6beb7d68c781,northeurope,northeurope-az2,staging,Customer Success,Operations,Customer API,team=Customer Success;project=Customer API;environment=staging;department=Operations,Cosmos DB,/subscriptions/d66e62a8/vm-28d54a95,analytics-cluster-032,Database,E4s_v5,23.92,hours,23.92,2.88,0.0,USD,4.7375,6.2592,1.5217,2026-04-01,2026-04-30
2026-04-24,AWS,581713854648,us-east-1,us-east-1a,dev,Security,Security,Backup Platform,team=Security;project=Backup Platform;environment=dev;department=Security,Lambda,i-453a443e89154b0e9,analytics-cluster-014,Serverless,serverless,2624671.0,requests,0.0,11.86,0.0,USD,94.7321,116.5749,21.8428,2026-04-01,2026-04-30
2026-04-24,Azure,e3ef33a4-835b-483a-8224-693c4172b674,southeastasia,southeastasia-az2,dev,DevOps,Engineering,Dev Platform,team=DevOps;project=Dev Platform;environment=dev;department=Engineering,Azure SQL Database,/subscriptions/0c57e052/vm-6955a712,batch-processing-worker-030,Database,D4as_v5,22.18,hours,22.18,15.57,0.0,USD,3.889,4.1708,0.2818,2026-04-01,2026-04-30
2026-04-24,GCP,gcp-proj-608993,asia-southeast1,asia-southeast1a,prod,Analytics,Data & Analytics,Recommendation Engine,team=Analytics;project=Recommendation Engine;environment=prod;department=Data & Analytics,Cloud Storage,gcp-b7f9d12e5897,log-aggregator-003,Storage,standard,2991.2,GB-month,11.96,75.0,2991.2,USD,1.5567,1.9874,0.4307,2026-04-01,2026-04-30
2026-04-24,AWS,725413874351,us-west-2,us-west-2b,dev,,,,,Lambda,i-0a0109aad95c4b179,dev-test-server-028,Serverless,serverless,3266607.0,requests,22.48,20.0,0.0,USD,121.8731,161.2824,39.4093,2026-04-01,2026-04-30
2026-04-24,Azure,8b57e4fc-c9c4-4237-9b82-4c618bc4be50,centralindia,centralindia-az1,prod,Customer Success,Operations,Internal Tools,team=Customer Success;project=Internal Tools;environment=prod;department=Operations,Cosmos DB,/subscriptions/30f3d8c0/vm-92b0938f,security-scanner-077,Database,D2s_v5,15.62,hours,15.62,59.03,0.0,USD,1.5011,1.5455,0.0444,2026-04-01,2026-04-30
2026-04-24,GCP,gcp-proj-553014,europe-west4,europe-west4a,staging,,,,,BigQuery,gcp-05f18687b417,staging-api-02-065,Analytics,n2-standard-32,16.79,vCPU-hours,16.79,12.43,0.0,USD,22.1446,29.1801,7.0355,2026-04-01,2026-04-30
2026-04-25,AWS,546688090938,us-west-2,us-west-2c,prod,Engineering,Engineering,Mobile Backend,team=Engineering;project=Mobile Backend;environment=prod;department=Engineering,Redshift,i-8bd44b7d36154db79,prod-core-db-061,Analytics,c5.2xlarge,8.67,vCPU-hours,8.67,10.17,0.0,USD,2.6751,3.0856,0.4105,2026-04-01,2026-04-30
2026-04-25,Azure,15a9dca0-8220-4aea-9748-292f4b3191eb,centralindia,centralindia-az2,staging,Finance,Finance,Reporting,team=Finance;project=Reporting;environment=staging;department=Finance,Azure Functions,/subscriptions/5b87a0c6/vm-935108c2,data-lake-ingest-062,Serverless,serverless,1076332.0,requests,23.03,2.56,0.0,USD,36.2448,43.4282,7.1834,2026-04-01,2026-04-30
2026-04-25,GCP,gcp-proj-901909,asia-south1,asia-south1c,staging,Customer Success,Operations,Customer API,team=Customer Success;project=Customer API;environment=staging;department=Operations,Cloud Functions,gcp-80faa750494f,staging-api-02-066,Serverless,serverless,4040416.0,requests,0.0,69.77,0.0,USD,228.1797,234.186,6.0063,2026-04-01,2026-04-30
